h1,h2,target
0.32586620451337406,-1.4193344806780663,-1.0
0.1541214893496204,-1.5099231427148019,-1.0
0.11046937193397838,-1.2888399329768103,-1.0
0.42012826003395987,-1.4384787641475616,-1.0
0.08076086900742181,-1.267846212000167,-1.0
0.18166007922479074,-1.3188823392283262,-1.0
0.17102449904221398,-1.3730116716956386,-1.0
-0.009367259067984829,-1.3101439503238592,-1.0
0.19128495717375826,-1.4959869055468213,-1.0
0.18990331964921026,-1.340101102738552,-1.0
0.4038414138321076,-1.4989800077862796,-1.0
0.07190357426199709,-1.4474753640211147,-1.0
0.1590998311697176,-1.431561044482567,-1.0
0.16132342265778177,-1.3191011126006378,-1.0
0.25939861308965045,-1.4340626530057197,-1.0
1.0448409147987903,1.1252061457140083,1.0
0.9164298684252771,0.856486897970163,1.0
1.3027171336549057,0.730358819282374,1.0
1.0738643578719622,0.8132423482817388,1.0
0.7978496330452697,0.7112422372894379,1.0
0.9629634395822837,0.6455151623731048,1.0
1.098134104611247,0.5712655866465551,1.0
0.9680583979181199,0.5335340801487243,1.0
1.052273181047015,0.7620975367986453,1.0
1.0301242284612318,0.9437971686661724,1.0
1.2775048721856685,1.0139633045897767,1.0
1.191454142148637,0.5620048095591577,1.0
1.254024318765082,0.8404005736768165,1.0
1.4758199601923494,0.920367770680324,1.0
1.317533863359588,0.7838064229298386,1.0
0.8614162135320973,0.7724309221585033,1.0
1.0235466166818272,0.6381208439780841,1.0
0.9140812194930936,0.543131949654927,1.0
1.2243584892126056,1.1189820743780126,1.0
1.276426435605534,0.8441738280294196,1.0
0.4661504609730648,-0.4643929845364637,0.0
0.8493458589767306,-0.1998319303926835,0.0
0.7197089423033367,-0.5447329300986947,0.0
0.9239743408350272,-0.33627690376678027,0.0
0.7915506527134649,-0.2582877364514747,0.0
0.5421405115187471,-0.22619189346507182,0.0
0.819008105911379,-0.05356643040555714,0.0
0.691005014471234,-0.3034822191524564,0.0
0.7414402627016119,-0.3387652116389307,0.0
0.7945393410822115,-0.5880988294575464,0.0
0.5964116815247471,-0.2994258542876608,0.0
0.5652997035655805,-0.3254276309165909,0.0
0.6743449213395009,-0.46346788886195095,0.0
0.8219552206965639,-0.340278336403019,0.0
0.7469016335919947,-0.40107612836768125,0.0
0.738908539207843,-0.43130173181081655,0.0
0.7280167962254139,-0.34356859170053977,0.0
0.27193283266660523,-0.10542746589439311,0.0
0.6617554729481959,-0.3050043271630759,0.0
0.610932884485781,-0.11613469857705927,0.0
