x,y,target
-2.0,-2.0,3
-1.8,-2.0,3
-1.6,-2.0,3
-1.4000000000000001,-2.0,3
-1.2000000000000002,-2.0,3
-1.0000000000000002,-2.0,3
-0.8000000000000003,-2.0,3
-0.6000000000000003,-2.0,3
-0.40000000000000036,-2.0,3
-0.2000000000000004,-2.0,3
-4.440892098500626e-16,-2.0,3
0.1999999999999993,-2.0,3
0.39999999999999947,-2.0,6
0.5999999999999996,-2.0,6
0.7999999999999994,-2.0,6
0.9999999999999991,-2.0,6
1.1999999999999993,-2.0,6
1.3999999999999995,-2.0,6
1.5999999999999992,-2.0,6
1.799999999999999,-2.0,6
-2.0,-1.8,3
-1.8,-1.8,3
-1.6,-1.8,3
-1.4000000000000001,-1.8,3
-1.2000000000000002,-1.8,3
-1.0000000000000002,-1.8,3
-0.8000000000000003,-1.8,3
-0.6000000000000003,-1.8,3
-0.40000000000000036,-1.8,3
-0.2000000000000004,-1.8,3
-4.440892098500626e-16,-1.8,3
0.1999999999999993,-1.8,6
0.39999999999999947,-1.8,6
0.5999999999999996,-1.8,6
0.7999999999999994,-1.8,6
0.9999999999999991,-1.8,6
1.1999999999999993,-1.8,6
1.3999999999999995,-1.8,6
1.5999999999999992,-1.8,6
1.799999999999999,-1.8,6
-2.0,-1.6,3
-1.8,-1.6,3
-1.6,-1.6,3
-1.4000000000000001,-1.6,3
-1.2000000000000002,-1.6,3
-1.0000000000000002,-1.6,3
-0.8000000000000003,-1.6,3
-0.6000000000000003,-1.6,3
-0.40000000000000036,-1.6,3
-0.2000000000000004,-1.6,3
-4.440892098500626e-16,-1.6,6
0.1999999999999993,-1.6,6
0.39999999999999947,-1.6,6
0.5999999999999996,-1.6,6
0.7999999999999994,-1.6,6
0.9999999999999991,-1.6,6
1.1999999999999993,-1.6,6
1.3999999999999995,-1.6,6
1.5999999999999992,-1.6,6
1.799999999999999,-1.6,6
-2.0,-1.4000000000000001,3
-1.8,-1.4000000000000001,3
-1.6,-1.4000000000000001,3
-1.4000000000000001,-1.4000000000000001,3
-1.2000000000000002,-1.4000000000000001,3
-1.0000000000000002,-1.4000000000000001,3
-0.8000000000000003,-1.4000000000000001,3
-0.6000000000000003,-1.4000000000000001,3
-0.40000000000000036,-1.4000000000000001,3
-0.2000000000000004,-1.4000000000000001,6
-4.440892098500626e-16,-1.4000000000000001,6
0.1999999999999993,-1.4000000000000001,6
0.39999999999999947,-1.4000000000000001,6
0.5999999999999996,-1.4000000000000001,6
0.7999999999999994,-1.4000000000000001,6
0.9999999999999991,-1.4000000000000001,6
1.1999999999999993,-1.4000000000000001,6
1.3999999999999995,-1.4000000000000001,6
1.5999999999999992,-1.4000000000000001,6
1.799999999999999,-1.4000000000000001,6
-2.0,-1.2000000000000002,3
-1.8,-1.2000000000000002,3
-1.6,-1.2000000000000002,3
-1.4000000000000001,-1.2000000000000002,3
-1.2000000000000002,-1.2000000000000002,3
-1.0000000000000002,-1.2000000000000002,3
-0.8000000000000003,-1.2000000000000002,3
-0.6000000000000003,-1.2000000000000002,3
-0.40000000000000036,-1.2000000000000002,3
-0.2000000000000004,-1.2000000000000002,6
-4.440892098500626e-16,-1.2000000000000002,6
0.1999999999999993,-1.2000000000000002,6
0.39999999999999947,-1.2000000000000002,6
0.5999999999999996,-1.2000000000000002,6
0.7999999999999994,-1.2000000000000002,6
0.9999999999999991,-1.2000000000000002,6
1.1999999999999993,-1.2000000000000002,6
1.3999999999999995,-1.2000000000000002,6
1.5999999999999992,-1.2000000000000002,6
1.799999999999999,-1.2000000000000002,6
-2.0,-1.0000000000000002,3
-1.8,-1.0000000000000002,3
-1.6,-1.0000000000000002,3
-1.4000000000000001,-1.0000000000000002,3
-1.2000000000000002,-1.0000000000000002,3
-1.0000000000000002,-1.0000000000000002,3
-0.8000000000000003,-1.0000000000000002,3
-0.6000000000000003,-1.0000000000000002,3
-0.40000000000000036,-1.0000000000000002,6
-0.2000000000000004,-1.0000000000000002,6
-4.440892098500626e-16,-1.0000000000000002,6
0.1999999999999993,-1.0000000000000002,6
0.39999999999999947,-1.0000000000000002,6
0.5999999999999996,-1.0000000000000002,6
0.7999999999999994,-1.0000000000000002,6
0.9999999999999991,-1.0000000000000002,6
1.1999999999999993,-1.0000000000000002,6
1.3999999999999995,-1.0000000000000002,6
1.5999999999999992,-1.0000000000000002,6
1.799999999999999,-1.0000000000000002,6
-2.0,-0.8000000000000003,2
-1.8,-0.8000000000000003,2
-1.6,-0.8000000000000003,3
-1.4000000000000001,-0.8000000000000003,3
-1.2000000000000002,-0.8000000000000003,3
-1.0000000000000002,-0.8000000000000003,3
-0.8000000000000003,-0.8000000000000003,3
-0.6000000000000003,-0.8000000000000003,3
-0.40000000000000036,-0.8000000000000003,6
-0.2000000000000004,-0.8000000000000003,6
-4.440892098500626e-16,-0.8000000000000003,6
0.1999999999999993,-0.8000000000000003,6
0.39999999999999947,-0.8000000000000003,6
0.5999999999999996,-0.8000000000000003,6
0.7999999999999994,-0.8000000000000003,6
0.9999999999999991,-0.8000000000000003,6
